SampleID,Sample,Replicate,Clutch,Timepoint,Measurement,MeasureType,PhenotypeSum,PhenotypeNotocord,PhenotypeNeuron,PhenotypeMorphology,Stain
cntrl,cntrl,1,2,24hpa,197.17,Tail,211,2,1,1,NF_DAPI
cntrl,cntrl,2,2,24hpa,180.22,Tail,211,2,1,1,NF_DAPI
cntrl,cntrl,3,2,24hpa,209.28,Tail,211,2,1,1,NF_DAPI
cntrl,cntrl,4,2,24hpa,163.71,Tail,211,2,1,1,NF_DAPI
cntrl,cntrl,1,2,48hpa,535.24,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,2,2,48hpa,481.23,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,3,2,48hpa,485.23,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,4,2,48hpa,464.61,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,5,2,48hpa,211.07,Tail,113,1,1,3,NF_DAPI
cntrl,cntrl,1,2,72hpa,506.46,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,2,2,72hpa,646.28,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,3,2,72hpa,624.85,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,4,2,72hpa,666.2,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,5,2,72hpa,627.9,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,6,2,72hpa,541.79,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,1,2,24hpa,36.68,sc_width,211,2,1,1,NF_DAPI
cntrl,cntrl,2,2,24hpa,46.56,sc_width,211,2,1,1,NF_DAPI
cntrl,cntrl,3,2,24hpa,37.64,sc_width,211,2,1,1,NF_DAPI
cntrl,cntrl,4,2,24hpa,32.04,sc_width,211,2,1,1,NF_DAPI
cntrl,cntrl,1,2,48hpa,15.84,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,2,2,48hpa,16.03,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,3,2,48hpa,18.62,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,4,2,48hpa,25.88,sc_width,111,1,1,1,NF_DAPI
