condition,rep,length,measure,timepoint,date
uninjected,1,526.982,spinalcord,72hpa,020720
uninjected,2,680.634,tail,72hpa,020720
uninjected,3,391.474,spinalcord,72hpa,020720
uninjected,4,669.176,tail,72hpa,020720
uninjected,5,427.74,spinalcord,72hpa,020720
uninjected,6,673.016,tail,72hpa,020720
uninjected,7,414.078,spinalcord,72hpa,020720
uninjected,8,631.654,tail,72hpa,020720
uninjected,9,410.908,spinalcord,72hpa,020720
uninjected,10,585.785,tail,72hpa,020720
uninjected,11,344.02,spinalcord,72hpa,020720
uninjected,12,565.912,tail,72hpa,020720
uninjected,13,373.95,spinalcord,72hpa,020720
uninjected,14,597.132,tail,72hpa,020720
uninjected,15,319.187,spinalcord,72hpa,020720
uninjected,16,531.206,tail,72hpa,020720
tracer,1,401.691,spinalcord,72hpa,020720
tracer,2,513.091,tail,72hpa,020720
tracer,3,511.815,spinalcord,72hpa,020720
tracer,4,598.92,tail,72hpa,020720
tracer,5,363.445,spinalcord,72hpa,020720
tracer,6,526.002,tail,72hpa,020720
tracer,7,294.776,spinalcord,72hpa,020720
tracer,8,419.067,tail,72hpa,020720
tracer,9,299.742,spinalcord,72hpa,020720
tracer,10,437.407,tail,72hpa,020720
tracer,11,390.747,spinalcord,72hpa,020720
tracer,12,518.583,tail,72hpa,020720
tracer,13,320.502,spinalcord,72hpa,020720
tracer,14,419.179,tail,72hpa,020720
tracer,15,363.546,spinalcord,72hpa,020720
tracer,16,573.38,tail,72hpa,020720
pbx3_VMO,1,352.438,spinalcord,72hpa,020720
pbx3_VMO,2,459.14,tail,72hpa,020720
pbx3_VMO,3,274.722,spinalcord,72hpa,020720
pbx3_VMO,4,369.575,tail,72hpa,020720
pbx3_VMO,5,286.911,spinalcord,72hpa,020720
pbx3_VMO,6,409.449,tail,72hpa,020720
pbx3_VMO,7,266.823,spinalcord,72hpa,020720
pbx3_VMO,8,376.533,tail,72hpa,020720
pbx3_VMO,9,322.404,spinalcord,72hpa,020720
pbx3_VMO,10,499.124,tail,72hpa,020720
pbx3_VMO,11,311.865,spinalcord,72hpa,020720
pbx3_VMO,12,366.013,tail,72hpa,020720
pbx3_VMO,13,223.193,spinalcord,72hpa,020720
pbx3_VMO,14,359.564,tail,72hpa,020720
pbx3_VMO,15,184.819,spinalcord,72hpa,020720
pbx3_VMO,16,249.599,tail,72hpa,020720
meis1_VMO,1,517.234,spinalcord,72hpa,020720
meis1_VMO,2,899.524,tail,72hpa,020720
meis1_VMO,3,477.48,spinalcord,72hpa,020720
meis1_VMO,4,632.74,tail,72hpa,020720
meis1_VMO,5,412.401,spinalcord,72hpa,020720
meis1_VMO,6,565.031,tail,72hpa,020720
meis1_VMO,7,446.14,spinalcord,72hpa,020720
meis1_VMO,8,631.302,tail,72hpa,020720
meis1_VMO,9,458.44,spinalcord,72hpa,020720
meis1_VMO,10,614.213,tail,72hpa,020720
meis1_VMO,11,343.98,spinalcord,72hpa,020720
meis1_VMO,12,455.051,tail,72hpa,020720
meis1_VMO,13,370.655,spinalcord,72hpa,020720
meis1_VMO,14,610.719,tail,72hpa,020720
meis1_VMO,15,337.411,spinalcord,72hpa,020720
meis1_VMO,16,586.717,tail,72hpa,020720
,,,,,
